Sleeper_Player_ID,Player,Position,Team,NFL Team,Age,Rookie_Year,Rookie,Sophomore,Rostered,Proj_1yr,Proj_3yr,Proj_5yr,Proj_Career,Tier,BreakoutProb,BreakoutFlag,Draft_Round,Overall_Pick,Expected_Proj_Career
12941,Bryson Nesbit,TE,FA,MIN,22,0,1,0,0,0.0,0.0,0.0,0.0,Bench,25.402,False,,,
9480,Brenton Strange,TE,FA,JAX,24,2023,0,0,0,71.1,48.2,48.2,25.0,Bench,17.131,False,2.0,61.0,
12545,Tyler Shough,QB,FA,NO,25,0,1,0,0,239.4,245.0,248.9,226.5,Flex,35.857,True,2.0,40.0,228.3
827,Tyrod Taylor,QB,FA,NYJ,35,2011,0,0,0,28.4,46.8,49.0,33.9,Bench,43.357,False,,,
4892,Baker Mayfield,QB,NevadaLou,TB,30,2018,0,0,1,455.0,372.5,358.4,336.5,C,36.594,False,,,
4137,James Conner,RB,boxerschwartz,ARI,30,2017,0,0,1,239.5,217.7,215.3,196.7,B,48.916,False,,,
10862,Dorian Thompson-Robinson,QB,FA,PHI,25,2023,0,0,0,35.3,37.2,36.9,39.9,Bench,35.857,True,5.0,140.0,
8145,Jeremy Ruckert,TE,FA,NYJ,24,2022,0,0,0,27.3,23.8,23.8,25.0,Bench,17.131,False,3.0,101.0,
12518,Tyler Warren,TE,FA,IND,23,0,1,0,0,95.1,96.5,97.4,97.7,Flex,17.697,False,1.0,14.0,95.3
7106,Lawrence Cager,TE,FA,WAS,27,2020,0,0,0,17.8,20.4,20.8,26.2,Bench,21.036,True,,,
928,Randall Cobb,WR,FA,FA,34,2011,0,0,0,21.2,48.0,57.6,28.7,Bench,75.519,False,,,
9506,Sean Tucker,RB,FA,TB,23,2023,0,0,0,62.2,42.2,42.1,29.3,Bench,40.482,True,,,
7607,Michael Carter,RB,FA,ARI,26,2021,0,0,0,35.1,56.5,66.7,29.6,Bench,33.964,True,,,
8167,Christian Watson,WR,Bakari2,GB,26,2022,0,0,1,118.0,130.2,132.5,134.3,Flex,50.256,True,2.0,34.0,
8211,Tyrion Davis-Price,RB,FA,FA,24,2022,0,0,0,11.0,12.3,11.9,28.8,Bench,37.144,True,3.0,93.0,
7599,Jermar Jefferson,RB,FA,FA,25,2021,0,0,0,12.6,19.2,19.1,28.8,Bench,38.678,True,,,
12897,Nathan Carter,RB,FA,ATL,23,0,1,0,0,0.0,0.0,0.0,0.0,Bench,40.482,True,,,
9999,Will Levis,QB,Haxen2000,TEN,25,2023,0,0,1,147.5,138.0,139.5,39.9,Bench,35.857,True,2.0,33.0,
12509,Tre Harris,WR,FA,LAC,23,0,1,0,0,111.4,111.7,111.7,111.7,Flex,44.413,False,2.0,55.0,107.5
5947,Jakobi Meyers,WR,MLeitheiser,LV,28,2019,0,0,1,211.7,206.2,199.9,192.5,B,60.344,False,,,
12778,Jerjuan Newton,WR,FA,DEN,24,0,1,0,0,0.0,0.0,0.0,0.0,Bench,42.834,True,,,
12946,Dontae Fleming,WR,FA,MIN,23,0,1,0,0,0.0,0.0,0.0,0.0,Bench,44.413,False,,,
11651,Isaac Guerendo,RB,jrroblestn,SF,24,2024,0,1,1,102.1,105.1,107.1,109.7,Flex,37.144,True,4.0,129.0,
12700,Gavin Bartholomew,TE,FA,MIN,22,0,1,0,0,93.2,95.0,96.2,94.1,Flex,25.402,False,6.0,202.0,94.1
3271,Tyler Higbee,TE,FA,LAR,32,2016,0,0,0,26.2,64.8,73.2,24.9,Bench,24.365,False,,,
12761,Jordan Moore,WR,FA,CIN,23,0,1,0,0,0.0,0.0,0.0,0.0,Bench,44.413,False,,,
12940,Tre Stewart,RB,FA,MIN,22,0,1,0,0,0.0,0.0,0.0,0.0,Bench,41.564,False,,,
